,Company,Industry,Sector,Main_Office,start_up
100,Datamatics ,Technology ,Software ,Mumbai ,1987 
101,Deccan Charters ,Consumer services ,Airlines ,Bengaluru ,1997 
102,Dedicated Freight Corridor Corporation of India ,Industrials ,Railroads ,New Delhi ,2006 
103,Dempo ,Basic materials ,General mining ,Panaji ,1941 
104,Dena Bank ,Financials ,Banks ,Mumbai ,1938 
105,Dish TV ,Consumer services ,Broadcasting & entertainment ,Noida ,2003 
106,Dixon Technologies ,Industrials ,Electronic & electrical equipment ,Noida ,1993 
107,DLF ,Real estate ,Real estate holding & development ,New Delhi ,1946 
108,DMart ,Retail ,Diversified retailers ,Mumbai ,2002 
109,Dr. Reddy's Laboratories ,Health care ,Pharmaceuticals ,Hyderabad ,1984 
110,Dynamatic Technologies ,Industrials ,Industrial engineering ,Bangalore ,1973 
111,EaseMyTrip ,Consumer services ,Travel & tourism ,New Delhi ,2008 
112,Edelweiss Group ,Financials ,Financial services ,Mumbai ,1995 
113,Eicher Motors ,Industrials ,Commercial vehicles & parts ,Gurugram ,1948 
114,EID Parry ,Consumer goods ,Food products ,Chennai ,1788 
115,Electronics Corporation of India Limited ,Industrials ,Electronic & electrical equipment ,Hyderabad ,1967 
116,eLitmus ,Business services ,Entry-level employment ,Bangalore ,2005 
117,Emami ,Conglomerate ,— ,Kolkata ,1974 
118,Emcure Pharmaceuticals ,Health care ,Pharmaceuticals ,Pune ,1983 
119,Engineers India ,Industrials ,Engineering and contracting services ,New Delhi ,1965 
120,English Indian Clays ,Basic materials ,General mining ,New Delhi ,1963 
121,Escorts Kubota Limited ,Industrials ,Industrial engineering ,Faridabad ,1960 
122,Essar Group ,Conglomerate ,— ,Mumbai ,1969 
123,Essel Group ,Conglomerate ,— ,Mumbai ,1926 
124,Eureka Forbes ,Consumer goods ,Consumer electronics ,Mumbai ,1982 
125,Eveready Industries India ,Consumer goods ,Durable household products ,Kolkata ,1905 
126,Exide Industries ,Industrials ,Electrical components ,Kolkata ,1947 
127,Exide Life Insurance ,Financials ,Life insurance ,Bengaluru ,2001 
128,Federal Bank ,Financials ,Banks ,Kochi ,1931 
129,Firstsource ,Industrials ,Business support services ,Mumbai ,2001 
130,Flipkart ,Technology ,Consumer digital services ,Bengaluru ,2007 
131,Forbes & Company Limited ,Conglomerate ,— ,Mumbai ,1767 
132,Force Motors ,Consumer goods ,Automobiles ,Pune ,1958 
133,Fortis Healthcare ,Health care ,Health care providers ,Gurugram ,2001 
134,Future Group ,Retail ,Diversified retailers ,Mumbai ,1987 
135,GAIL ,Utilities ,Gas distribution ,New Delhi ,1984 
136,Galaxy Surfactants ,Chemicals ,Specialty chemicals ,Navi Mumbai ,1980 
137,Garden Reach Shipbuilders & Engineers ,Industrials ,Shipbuilding ,Kolkata ,1884 
138,Geojit Financial Services ,Financials ,Investment services ,Kochi ,1987 
139,Gini & Jony ,Consumer goods ,Clothing & accessories ,Mumbai ,1980 
140,Glenmark Pharmaceuticals ,Health care ,Pharmaceuticals ,Mumbai ,1977 
141,Gliders India ,Industrials ,Defense ,Nagpur ,2021 
142,GMR Group ,Real estate ,Real estate holding & development ,New Delhi ,1978 
143,Go First ,Consumer services ,Airlines ,Mumbai ,2005 
144,Goa Shipyard ,Industrials ,Shipbuilding ,Goa ,1957 
145,Godrej Group ,Conglomerate ,— ,Mumbai ,1897 
146,Great Eastern Shipping ,Industrials ,Marine transportation ,Mumbai ,1948 
147,Greaves Cotton ,Industrials ,Industrial engineering ,Mumbai ,1859 
148,Greenply ,Industrials ,Building materials: other ,Tinsukia ,1990 
149,Gujarat Alkalies and Chemicals Limited ,Chemicals ,Specialty chemicals ,Noida ,1973 
150,Gujarat Mineral Development Corporation ,Basic materials ,General mining ,Ahmedabad ,1963 
151,Gujarat State Fertilizers and Chemicals ,Chemicals ,Fertilizers ,Vadodara ,1962 
152,Gujarat State Petroleum Corporation ,Energy ,Oil refining & marketing ,Ahmedabad ,1979 
153,GVK Industries ,Conglomerate ,— ,Hyderabad ,2005[4] 
